"Show Imprint. Compatible with <a href=""http://www.magentocommerce.com/magento-connect/firegento-magesetup.html"">MageSetup</a> or GermanSetup (not anymore maintained, replaced by MageSetup)","Toon afdruk, compatibel met <a href=""http://www.magentocommerce.com/magento-connect/firegento-magesetup.html"">MageSetup</a> of GermanSetup (wordt niet meer doorontwikkeld en wordt vervangen door MageSetup)"
"Show Invoice Comments","Toon notities voor factuur"
"Show Item Discount","Toon korting van item"
"Show Notice: Invoice date is equal to delivery date.","Toon opmerking: Factuurdatum is gelijk aan de verzenddatum."
"Show Order ID as Barcode","Toon bestelnummer als barcode"
"Show Payment Method","Toon betaalmethode"
"Show Shipment Comments","Toon notities voor levering"
"Show Shipping Method","Toon verzendmethode"
"Standard FireGento","Standaard FireGento"
"Standard Magento","Standaard Magento"
"Subtotal (incl. tax)","Subtotaal (incl. BTW)"
"Subtotal:","Subtotaal:"
"SWIFT:","SWIFT:"
"Tax","BTW"
"Tax amount","BTW-bedrag"
"Tax number:","BTW-nummer:"
"Tax rate",BTW-bedrag
"Telephone:","Telefoon:"
"There are no printable documents related to selected orders","Er zijn geen documenten die kunnen worden afgedrukt voor de geselecteerde orders."
"Total","Totaal"
"Total (incl. tax)","Totaal (incl. BTW)"
"Upload own fonts","Upload eigen lettertypes"
"VAT-ID:","BTW-nummer:"
"Web:","Website:"
"You can upload your own fonts (*.ttf) instead of using Zends Helvetica","U kunt uw eigen lettertypes (*.ttf) uploaden in plaats van Helvetica."
"You get a discount of %s.","Korting: %s"
